Cb,L,B,T,GMT,Wt,Disp,Excess
[0.53536895],[35.54578512],[4.01055143],[3.69555492],[-0.23015859],[159.05453642],[282.04931145],[122.99477504]
[0.39068371],[31.29665547],[6.02585325],[2.91194856],[1.20679702],[163.03153354],[214.54850231],[51.51696876]
[0.43856408],[34.58058989],[4.64965074],[3.6648264],[0.1549602],[163.36487028],[258.42778152],[95.06291125]
[0.37042773],[27.1473184],[3.81939312],[3.99513008],[0.02868504],[136.7808287],[153.44605163],[16.66522293]
[0.58263249],[48.06496314],[7.82952905],[3.53180429],[0.96504937],[270.80744641],[774.38259885],[503.57515244]
[0.5144363],[47.8147037],[9.30805095],[4.35643077],[1.30362075],[316.51854158],[997.43050214],[680.91196056]
[0.32492951],[28.36279208],[5.29622341],[2.62648715],[1.30302657],[145.92103434],[128.19754818],[-17.72348616]
[0.31265104],[47.10232262],[10.80171123],[2.55934798],[6.53658025],[308.17557678],[407.12155819],[98.94598141]
[0.36169838],[42.09144307],[3.47054668],[2.90384133],[0.23765871],[166.98224813],[153.43030421],[-13.55194392]
[0.37337572],[48.26876508],[8.48850028],[3.88729876],[1.95825274],[291.89781942],[594.69070682],[302.7928874]
[0.41940859],[29.59547636],[5.53808018],[3.16053028],[0.72825722],[154.73687195],[217.26103796],[62.52416601]
[0.34647267],[25.15010398],[7.70317328],[4.21751688],[1.50498711],[166.23598072],[283.09699917],[116.86101844]
[0.36058945],[37.15392327],[5.41157414],[4.77322766],[0.30476206],[188.1234956],[346.06164037],[157.93814477]
[0.34329385],[41.92275321],[8.01915019],[3.79075117],[1.96589317],[244.30787901],[437.49132928],[193.18345027]
[0.53046476],[43.82672429],[3.75844573],[3.3155792],[-0.16226585],[178.36470168],[289.70983541],[111.34513373]
[0.42456336],[41.0601261],[10.72517212],[2.1757252],[5.938687],[258.41050692],[406.79077979],[148.38027287]
[0.56141047],[32.96289539],[10.97588846],[3.63697796],[2.55288499],[239.3749817],[738.73080935],[499.35582765]
[0.55311676],[45.58381355],[5.35491612],[3.430051],[0.18395322],[210.25478857],[463.10633552],[252.85154695]
[0.32374762],[43.23076192],[10.0158888],[2.533749],[5.48084353],[267.1782054],[355.18332126],[88.00511586]
[0.34163847],[44.25460848],[11.947354],[4.43221421],[4.02250116],[355.5208595],[800.60397852],[445.08311902]
[0.406081],[39.88124308],[10.62589534],[4.93412955],[2.15028921],[299.17224924],[849.09726392],[549.92501469]
[0.33413047],[35.82385266],[4.16408132],[3.83239061],[0.28015811],[162.12823201],[191.01933839],[28.89110637]
[0.45185135],[28.291417],[5.60267808],[3.57108896],[0.46096761],[153.74813764],[255.76824445],[102.02010681]
[0.44252788],[25.3543594],[6.09114454],[3.04917805],[0.95227379],[146.29031021],[208.38908556],[62.09877535]
[0.43091109],[37.61481139],[4.58154323],[4.5883425],[-0.10842048],[176.76825812],[340.73298583],[163.96472771]
[0.51100439],[45.06340393],[7.61967644],[3.14889857],[1.37543924],[244.79578972],[552.51468913],[307.71889941]
[0.39246092],[41.04099326],[3.59219448],[2.22905558],[0.44926416],[161.39321251],[128.97187689],[-32.42133561]
[0.44022688],[37.78713493],[3.181424],[2.67364225],[0.05025279],[151.27455307],[141.49639339],[-9.77815968]
[0.46857158],[42.11353961],[8.41800051],[3.08208216],[2.05344067],[242.72310833],[511.97746404],[269.25435571]
[0.37442651],[29.84713792],[11.14335999],[3.91984981],[3.64464431],[225.88186185],[488.15176873],[262.26990688]
[0.48849979],[37.23791278],[3.4059514],[4.9288059],[-0.55497381],[160.86572281],[305.37246308],[144.50674027]
[0.41590127],[49.30805029],[9.92210521],[2.39067666],[4.61061143],[300.10274306],[486.44388359],[186.34114053]
[0.47459532],[38.83179837],[11.84309473],[3.44295139],[3.9060085],[290.22739849],[751.46204429],[461.2346458]
[0.45443884],[45.67309515],[8.20413832],[2.07584118],[3.33724556],[239.91444325],[353.47848318],[113.56403993]
[0.35050423],[29.92927881],[4.05989964],[4.97727758],[-0.0565924],[148.75836668],[211.98087043],[63.22250375]
[0.48335584],[27.28102646],[5.6412831],[3.95402002],[0.22902577],[152.98617071],[294.13346244],[141.14729173]
[0.36454812],[29.02243966],[10.99909079],[2.79289918],[5.40081277],[204.48882067],[325.01306682],[120.52424615]
[0.54329257],[44.45104813],[4.41707547],[2.57323862],[0.28485993],[184.26673697],[274.4926084],[90.22587143]
[0.41167388],[45.2304702],[9.16579862],[3.89139131],[2.09161506],[288.14117489],[664.13999669],[375.99882181]
[0.41906775],[48.85442889],[8.72972211],[2.55559842],[3.20602039],[276.38042519],[456.75279182],[180.37236663]
[0.31448658],[26.73130931],[10.24702515],[3.23605543],[4.51291013],[190.06021048],[278.76362486],[88.70341438]
[0.31817513],[26.67430971],[9.14629665],[2.75471904],[4.20037412],[174.15366253],[213.8365862],[39.68292368]
[0.33227946],[28.79846616],[4.1375876],[4.31087695],[0.16465169],[144.52629401],[170.68119883],[26.15490482]
[0.32132741],[46.47520322],[7.05457548],[3.45319056],[1.79108849],[245.1374851],[363.79816516],[118.66068006]
[0.55585783],[46.42710198],[7.21835494],[2.57851668],[1.50621465],[235.73671582],[480.33416669],[244.59745088]
[0.32201641],[45.88985267],[6.74538264],[3.78541766],[1.41180315],[240.32033421],[377.32454701],[137.0042128]
[0.51508185],[27.8978987],[10.94282845],[3.61287414],[2.80204156],[208.28724698],[568.10703249],[359.81978551]
[0.36295808],[48.12538112],[3.0921854],[4.41836518],[-0.19130766],[186.69230109],[238.64799328],[51.95569219]
[0.47545017],[33.16515618],[10.53656987],[2.52783293],[4.39171994],[217.47166148],[419.98586166],[202.51420018]
[0.57114051],[29.22402413],[4.81314973],[4.38110237],[-0.33496095],[152.66970589],[351.96198596],[199.29228007]
[0.31726787],[26.97751776],[10.75367153],[4.12665786],[3.75399511],[206.25939911],[379.82479888],[173.56539977]
[0.45616926],[42.16112509],[10.1775843],[4.72126936],[1.75055095],[302.88881589],[924.14835489],[621.259539]
[0.47652182],[38.35780417],[7.91238592],[2.04163615],[3.01651392],[201.30253811],[295.27204823],[93.96951012]
[0.36352669],[43.9056135],[11.21386928],[3.32805144],[4.62611596],[312.40433364],[595.6647054],[283.26037176]
[0.46513906],[38.88710652],[4.88110731],[4.17209863],[-0.01201586],[183.19509117],[368.35058542],[185.15549425]
[0.31004762],[37.92060478],[3.0609215],[4.30414343],[-0.01768675],[156.30942226],[154.89685167],[-1.41257059]
[0.4623691],[31.60090578],[5.50114462],[4.60216274],[0.02553871],[168.62656951],[369.91621721],[201.28964771]
[0.40183784],[48.52789144],[7.41579691],[4.87345222],[0.7657993],[281.82261708],[704.75276461],[422.93014752]
[0.50967498],[39.94986743],[11.63570705],[2.78296335],[4.59131701],[280.64456886],[659.33923816],[378.69466929]
[0.45309157],[27.56782293],[6.69361675],[4.06145546],[0.63669772],[164.63209365],[339.57131242],[174.93921877]
[0.58593616],[31.67902528],[9.98435883],[2.74251488],[2.92369119],[206.26775459],[508.26626757],[301.99851298]
[0.527462],[32.51843726],[7.0097558],[4.03989446],[0.51904533],[187.17864198],[485.72868424],[298.55004226]
[0.39723198],[47.03378558],[6.35645021],[2.01620865],[2.22730753],[215.33281742],[239.44416898],[24.11135156]
[0.40632694],[33.49752306],[5.16075816],[3.5251449],[0.46477509],[165.01931617],[247.61605134],[82.59673518]
[0.50786349],[42.46289077],[6.93673166],[2.12051737],[2.00717862],[206.69348431],[317.2146803],[110.52119599]
[0.31859388],[45.91106252],[3.98456328],[3.2901802],[0.42624523],[188.04136043],[191.75874511],[3.71738469]
[0.55234657],[45.12543759],[10.65807855],[2.65872438],[3.73061147],[294.57823235],[706.29368268],[411.71545033]
