Cb,L,B,T,GMT,Wt,Disp,Excess
[0.53738626],[25.95530344],[3.06053248],[2.22210766],[0.02032714],[151.61778105],[94.85817345],[-56.7596076]
[0.46532132],[38.26526017],[3.31882928],[4.33983951],[-0.38971429],[236.57925321],[256.45797078],[19.87871757]
[0.40484008],[33.67407514],[6.28401816],[4.01404908],[0.68538359],[388.7242409],[343.87395662],[-44.85028428]
[0.44577185],[40.47037848],[10.49779503],[2.75668145],[4.15503298],[438.12388131],[522.0770165],[83.95313519]
[0.37576795],[37.06646316],[6.24963993],[3.56885487],[1.00113218],[231.39993858],[310.6595957],[79.25965712]
[0.36280253],[49.78593908],[7.64177494],[2.8824337],[2.36651486],[296.90745576],[397.8602727],[100.95281693]
[0.40895846],[25.29247328],[8.81379089],[4.47097512],[1.52273792],[1199.62030793],[407.6012344],[-792.01907353]
[0.42001366],[30.51507721],[11.46700902],[2.79579408],[5.21289481],[596.93315799],[410.89723533],[-186.03592267]
[0.56836874],[41.04918221],[5.82746096],[3.3802928],[0.32580999],[267.75731416],[459.58768826],[191.8303741]
[0.31716065],[26.60255504],[8.66558607],[3.96826036],[2.43724413],[250.04411711],[290.13541784],[40.09130072]
[0.40784738],[35.17565968],[5.18784019],[4.28521165],[0.20655961],[329.52695912],[318.93250968],[-10.59444943]
[0.48366927],[38.25279499],[11.74997662],[4.43290081],[2.64223672],[1217.86240264],[963.68851264],[-254.17389]
[0.57515179],[28.18679235],[9.95054827],[4.59489288],[1.18437708],[635.21125574],[741.2258154],[106.01455966]
[0.41609983],[46.88398384],[4.83251363],[3.76084868],[0.24115173],[270.91783772],[354.55286074],[83.63502302]
[0.45054921],[44.44730307],[4.70266066],[3.3917454],[0.23457623],[251.78366177],[319.41443263],[67.63077085]
[0.36194201],[28.75611419],[6.03587805],[4.75052312],[0.50471468],[236.1415033],[298.43591262],[62.29440932]
[0.51373025],[29.78584277],[7.28029555],[2.82383402],[1.45634418],[257.31512859],[314.58152192],[57.26639333]
[0.36451828],[49.87243894],[6.57139389],[3.23387646],[1.40685863],[281.11760608],[386.33214008],[105.21453399]
[0.35716541],[35.53913087],[11.33168232],[3.43346615],[4.63997565],[325.08252486],[493.85943397],[168.77690911]
[0.35995016],[29.78136175],[7.5675416],[4.66416204],[1.13566586],[272.08566678],[378.36885035],[106.28318357]
[0.36695645],[25.87153381],[3.72755798],[2.66618242],[0.38963482],[153.04717279],[94.35196907],[-58.69520373]
[0.40437339],[25.7602778],[10.67986486],[4.5322132],[2.49288601],[1653.64934962],[504.20737702],[-1149.44197259]
[0.43289834],[26.68359709],[5.15660568],[3.81157186],[0.2748216],[379.66645688],[227.03788533],[-152.62857154]
[0.33048899],[30.18271843],[5.01997149],[3.75414156],[0.61039368],[191.34568328],[187.98675236],[-3.35893092]
[0.44343973],[26.26709537],[7.94518956],[3.50612565],[1.55062955],[651.47046222],[324.47287437],[-326.99758785]
[0.56284386],[26.96738318],[8.61748119],[4.1431119],[0.96299994],[447.37381841],[541.91820816],[94.54438975]
[0.35988635],[32.4458531],[5.94402979],[3.74678268],[0.85495914],[215.54659471],[260.05431194],[44.50771723]
[0.33135739],[28.00082617],[10.36361281],[3.14292977],[4.54763052],[260.55822438],[302.2131544],[41.65493002]
[0.524815],[37.65455024],[9.98153466],[4.59255206],[1.40337495],[504.09514395],[905.88926298],[401.79411903]
[0.56469608],[30.00412859],[9.39074144],[2.86291591],[2.45861327],[334.96140562],[455.51666286],[120.55525724]
[0.5217187],[32.38024666],[4.91472949],[3.36492729],[0.14363063],[224.00635263],[279.37778048],[55.37142784]
[0.42252335],[45.33424321],[10.02739956],[3.08687661],[3.43500779],[438.02497372],[592.90440815],[154.87943443]
