Cb,L,B,T,GMT,Wt,Disp,Excess
[0.40784738],[35.17565968],[5.18784019],[4.28521165],[0.20655961],[329.52695912],[318.93250968],[-10.59444943]
[0.33048899],[30.18271843],[5.01997149],[3.75414156],[0.61039368],[191.34568328],[187.98675236],[-3.35893092]
[0.33691793],[40.522957],[8.27939917],[2.38335585],[3.79307205],[248.85313563],[269.40953616],[20.55640053]
[0.32872177],[41.20532311],[3.87133799],[3.48158243],[0.29969675],[195.57273538],[182.56585779],[-13.00687759]
[0.34269636],[36.76863531],[5.35431349],[3.01463868],[1.01772961],[201.60792072],[203.38834608],[1.78042536]
[0.3611839],[27.96927434],[11.7025047],[2.14103833],[8.25257722],[242.15473576],[253.11206446],[10.95732871]
[0.49743844],[39.80405508],[8.12125238],[4.8691538],[0.62005114],[782.7486332],[782.96645976],[0.21782656]
[0.43794691],[33.66059332],[5.45031184],[2.65988381],[0.9086626],[235.21180649],[213.71118444],[-21.50062205]
[0.43374052],[36.40291906],[5.98225664],[3.89493738],[0.51761617],[354.47906521],[367.90163893],[13.42257372]
[0.50379038],[25.54875141],[9.6916766],[2.19648609],[4.11761643],[258.25265668],[273.99770478],[15.7450481]
[0.44106253],[38.13285979],[7.30143935],[4.872781],[0.55302447],[606.50712111],[598.39081336],[-8.11630775]
[0.47243672],[37.28510289],[11.5194881],[3.01138927],[4.35532866],[612.71291431],[611.05326252],[-1.65965179]
[0.53032835],[32.09909945],[4.89862171],[2.47584969],[0.54020706],[193.993749],[206.45997646],[12.46622746]
[0.49336917],[35.92245791],[5.63113615],[3.49707282],[0.38603124],[330.56214533],[349.01070797],[18.44856264]
[0.47907079],[40.1454598],[9.00684911],[4.69898022],[1.12219614],[811.29030669],[813.97793993],[2.68763324]
[0.49624986],[40.39003638],[10.78756186],[3.65512142],[2.76692587],[729.49848866],[790.31412679],[60.81563813]
[0.46847742],[36.49199096],[8.03501548],[2.76930446],[2.13807133],[354.71187383],[380.40274578],[25.69087195]
[0.49988597],[38.45258157],[8.6883791],[3.59177707],[1.61420095],[554.86015643],[599.85265987],[44.99250343]
[0.43586247],[34.13177701],[6.01902458],[2.50886619],[1.31581659],[239.55243872],[224.65288125],[-14.89955747]
[0.40176723],[48.95936774],[4.62181506],[2.20730116],[0.9072758],[221.17560365],[200.67093155],[-20.5046721]
[0.45170105],[36.88861903],[9.37138291],[2.77903996],[3.15711236],[408.46350801],[433.95228065],[25.48877264]
[0.43806141],[40.08447937],[4.41034966],[3.14373417],[0.26414597],[226.26033519],[243.46137994],[17.20104475]
[0.49755632],[35.68111991],[6.16430517],[3.15329359],[0.74833244],[327.58204116],[345.08752537],[17.50548421]
[0.33123401],[36.92662564],[3.66501355],[4.43368304],[0.02398643],[191.34445297],[198.75349701],[7.40904404]
[0.38402314],[25.92634007],[8.39242549],[2.23479725],[3.73034798],[197.76426709],[186.73435529],[-11.0299118]
[0.43102298],[37.92121107],[10.01781117],[3.21747636],[3.19028216],[499.50110417],[526.83039822],[27.32929405]
[0.32698979],[38.31088201],[3.97266186],[3.44677479],[0.34775942],[189.07299056],[171.5342523],[-17.53873826]
[0.35449423],[27.51172689],[6.76373741],[3.06655705],[1.68805526],[201.81040081],[202.28552704],[0.47512623]
[0.42008528],[35.06914007],[8.86381462],[2.10024475],[4.16234189],[286.22275555],[274.25411387],[-11.96864168]
[0.3958877],[40.31063658],[5.87357095],[2.27544087],[1.59754474],[209.53938185],[213.28457008],[3.74518823]
[0.3301568],[28.59425242],[6.89733187],[2.74990946],[2.20489998],[195.79052597],[179.05997308],[-16.73055289]
[0.31475859],[47.89845892],[7.04528959],[2.25706978],[3.05091176],[255.78589842],[239.74136365],[-16.04453477]
[0.46077289],[34.76532315],[10.6770145],[2.31550946],[5.13447187],[396.29354465],[396.03136538],[-0.26217928]
[0.48615743],[43.52417522],[11.90974833],[4.39116119],[2.75759646],[1024.47342988],[1106.59687606],[82.12344618]
[0.4076897],[36.80061418],[7.77834179],[2.95491784],[2.10294974],[329.90677925],[344.83968646],[14.9329072]
